FECHA,Area_interpo,id_ley,FECHA_month,FECHA_year
2005-08-01,61148.536021176325,4,2005-08,2005
2005-09-01,61697.153664298334,4,2005-09,2005
2005-10-01,62032.79085892502,3,2005-10,2005
2005-11-01,62100.46695618871,1,2005-11,2005
2005-12-01,61857.37118845092,5,2005-12,2005
2006-02-01,60440.90500795809,1,2006-02,2006
2006-05-01,56943.5054841782,4,2006-05,2006
2006-07-01,54541.89011957794,56,2006-07,2006
2006-08-01,53537.39374349949,77,2006-08,2006
2006-09-01,52760.89951265994,37,2006-09,2006
2006-10-01,52289.267107984306,19,2006-10,2006
2006-11-01,52185.04094786861,17,2006-11,2006
2006-12-01,52529.34852878202,11,2006-12,2006
2007-01-01,53339.29027291569,1,2007-01,2007
2007-02-01,54538.85168030652,6,2007-02,2007
2007-03-01,56041.978872922504,8,2007-03,2007
2007-04-01,57763.61555853718,19,2007-04,2007
2007-05-01,59616.92139398964,8,2007-05,2007
2007-06-01,61515.65157446354,1,2007-06,2007
2007-07-01,63373.74594159469,57,2007-07,2007
2007-08-01,65105.144337033846,59,2007-08,2007
2007-09-01,66623.78660241647,42,2007-09,2007
2007-10-01,67843.61257938335,17,2007-10,2007
2007-11-01,68678.56210957507,22,2007-11,2007
2007-12-01,69043.38029023237,6,2007-12,2007
2008-02-01,68328.24163790511,9,2008-02,2008
2008-03-01,67371.27963014333,8,2008-03,2008
2008-04-01,66102.05065986422,34,2008-04,2008
2008-05-01,64586.078820679446,12,2008-05,2008
2008-07-01,61076.002910044874,85,2008-07,2008
2008-08-01,59212.94702581337,81,2008-08,2008
2008-09-01,57365.446984784256,33,2008-09,2008
2008-10-01,55599.367246254464,19,2008-10,2008
2008-11-01,53979.95577628354,22,2008-11,2008
2008-12-01,52571.96704629879,24,2008-12,2008
2009-02-01,50444.665673148884,5,2009-02,2009
2009-03-01,49665.097541220915,32,2009-03,2009
2009-04-01,49031.93045911109,23,2009-04,2009
2009-05-01,48513.57161661098,17,2009-05,2009
2009-06-01,48078.42820351194,5,2009-06,2009
2009-07-01,47694.907409606625,56,2009-07,2009
2009-08-01,47331.416424684474,70,2009-08,2009
2009-09-01,46956.36243853797,47,2009-09,2009
2009-10-01,46540.20310188993,25,2009-10,2009
2009-11-01,46049.74508516407,22,2009-11,2009
2009-12-01,45453.94763495781,14,2009-12,2009
2010-01-01,44748.218918081504,1,2010-01,2010
2010-02-01,43960.55365865635,5,2010-02,2010
2010-03-01,43120.96329058551,3,2010-03,2010
2010-04-01,42259.45924777046,14,2010-04,2010
2010-05-01,41406.17693625611,10,2010-05,2010
2010-07-01,39844.1951471328,63,2010-07,2010
2010-08-01,39195.188587903605,93,2010-08,2010
2010-09-01,38674.16300946101,36,2010-09,2010
2010-10-01,38311.111979728135,18,2010-10,2010
2010-11-01,38136.30850294435,15,2010-11,2010
2010-12-01,38178.71776992069,10,2010-12,2010
2011-01-01,38435.25307609586,1,2011-01,2011
2011-02-01,38868.87697673438,5,2011-02,2011
2011-03-01,39440.861410010264,23,2011-03,2011
2011-04-01,40112.478314097556,21,2011-04,2011
2011-05-01,40844.99962717035,9,2011-05,2011
2011-06-01,41599.6972874006,1,2011-06,2011
2011-07-01,42337.843232966574,59,2011-07,2011
2011-08-01,43020.7094020403,49,2011-08,2011
2011-09-01,43609.5677327958,40,2011-09,2011
2011-10-01,44065.690163407155,16,2011-10,2011
2011-11-01,44350.34863204838,20,2011-11,2011
2011-12-01,44426.48897478092,5,2011-12,2011
2012-02-01,43972.84232547776,2,2012-02,2012
2012-03-01,43500.18508531857,29,2012-03,2012
2012-04-01,42903.09232166602,10,2012-04,2012
2012-05-01,42211.15434965391,6,2012-05,2012
2012-07-01,40661.104041087834,55,2012-07,2012
2012-08-01,39862.1723347993,76,2012-08,2012
2012-09-01,39086.756680686056,27,2012-09,2012
2012-10-01,38364.44739388188,27,2012-10,2012
2012-11-01,37724.8347895221,23,2012-11,2012
2012-12-01,37193.266066819226,10,2012-12,2012
2013-01-01,36792.009935418835,1,2013-01,2013
2013-02-01,36517.93319399385,3,2013-02,2013
2013-03-01,36372.32490848349,29,2013-03,2013
2013-04-01,36356.474144826425,13,2013-04,2013
2013-05-01,36471.66996896106,16,2013-05,2013
2013-06-01,36720.87023283813,3,2013-06,2013
2013-07-01,37104.36222126039,39,2013-07,2013
2013-08-01,37619.64569402559,42,2013-08,2013
2013-09-01,38268.700462199486,39,2013-09,2013
2013-10-01,39058.46521437835,28,2013-10,2013
2013-11-01,39987.01094998,20,2013-11,2013
2013-12-01,41062.24431837576,6,2013-12,2013
2014-01-01,42279.00491646156,1,2014-01,2014
2014-02-01,43606.768148717514,2,2014-02,2014
2014-03-01,45029.69346743852,7,2014-03,2014
2014-04-01,46532.19948367353,13,2014-04,2014
2014-05-01,48098.70480846733,8,2014-05,2014
2014-06-01,49713.62805287794,4,2014-06,2014
2014-07-01,51361.387827949955,57,2014-07,2014
2014-08-01,53026.40274473262,26,2014-08,2014
2014-09-01,54693.091414275186,32,2014-09,2014
2014-10-01,56348.06582764983,20,2014-10,2014
2014-11-01,57982.35745673981,11,2014-11,2014
2014-12-01,59566.76247206707,5,2014-12,2014
2015-01-01,61126.737281126894,2,2015-01,2015
2015-02-01,62683.684391025694,2,2015-02,2015
2015-03-01,64265.50979124003,10,2015-03,2015
2015-04-01,65899.78568388773,13,2015-04,2015
2015-05-01,67613.41474519463,4,2015-05,2015
2015-07-01,71388.86448421687,42,2015-07,2015
2015-08-01,73505.75121713232,54,2015-08,2015
2015-09-01,75813.46429066632,29,2015-09,2015
2015-10-01,78338.72939592531,9,2015-10,2015
2015-11-01,81109.10169919368,21,2015-11,2015
2015-12-01,84147.0962758102,5,2015-12,2015
2016-02-01,90908.32359299682,1,2016-02,2016
2016-03-01,94535.92971692205,14,2016-03,2016
2016-04-01,98264.29543107298,19,2016-04,2016
2016-05-01,102045.49419548092,8,2016-05,2016
2016-06-01,105831.5994701469,2,2016-06,2016
2016-07-01,109574.68471508179,68,2016-07,2016
2016-08-01,113226.82339029691,86,2016-08,2016
2016-09-01,116740.08895580313,21,2016-09,2016
2016-10-01,120066.55487160292,22,2016-10,2016
2016-11-01,123158.29459772486,17,2016-11,2016
2016-12-01,125972.6376587644,8,2016-12,2016
2017-02-01,130777.26371030338,2,2017-02,2017
2017-03-01,132799.40968822717,12,2017-03,2017
2017-04-01,134589.41856942594,18,2017-04,2017
2017-05-01,136163.27105529114,15,2017-05,2017
2017-07-01,138726.42964653636,73,2017-07,2017
2017-08-01,139747.69715468076,64,2017-08,2017
2017-09-01,140616.73107301642,27,2017-09,2017
2017-10-01,141349.51210292385,24,2017-10,2017
2017-11-01,141962.02094578906,23,2017-11,2017
2017-12-01,142468.71391615632,7,2017-12,2017
2018-01-01,142874.23016442792,2,2018-01,2018
2018-03-01,143384.71876403718,5,2018-03,2018
2018-04-01,143491.16969334136,16,2018-04,2018
2018-05-01,143499.41076095708,7,2018-05,2018
2018-06-01,143410.18125586712,5,2018-06,2018
2018-07-01,143224.22046705493,80,2018-07,2018
2018-08-01,142942.26768350392,81,2018-08,2018
2018-09-01,142565.06219419863,48,2018-09,2018
2018-10-01,142093.34328812035,34,2018-10,2018
2018-11-01,141527.85025425337,24,2018-11,2018
2018-12-01,140824.94488470125,12,2018-12,2018
2019-02-01,139262.99060955163,7,2019-02,2019
2019-03-01,138374.35656124156,16,2019-03,2019
2019-04-01,137425.33693404944,14,2019-04,2019
2019-05-01,136424.47099918677,8,2019-05,2019
2019-06-01,135380.29802786265,2,2019-06,2019
2019-07-01,134301.35729128626,100,2019-07,2019
2019-08-01,133196.18806066673,98,2019-08,2019
2019-09-01,132073.32960721623,42,2019-09,2019
2019-10-01,130941.32120213783,24,2019-10,2019
2019-11-01,129808.70211664365,24,2019-11,2019
2019-12-01,128684.54841798854,10,2019-12,2019
2020-01-01,127611.52570719554,1,2020-01,2020
2020-02-01,126561.64283306774,6,2020-02,2020
2020-03-01,125568.60284910881,7,2020-03,2020
2020-05-01,123826.6836314587,6,2020-05,2020
2020-06-01,122974.94936403396,3,2020-06,2020
2020-07-01,122140.72107323493,276,2020-07,2020
2020-08-01,121327.94867529249,69,2020-08,2020
2020-09-01,120540.58208643977,49,2020-09,2020
2020-10-01,119829.07069416756,38,2020-10,2020
2020-11-01,119277.93473841283,17,2020-11,2020
